"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-backend/index.js", "JavaScript", 0, 24, 1, 11, 36
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-backend/middlewares/auth.js", "JavaScript", 0, 35, 0, 8, 43
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-backend/middlewares/errorHandler.js", "JavaScript", 0, 12, 1, 3, 16
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-backend/package-lock.json", "JSON", 2356, 0, 0, 1, 2357
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-backend/package.json", "JSON", 16, 0, 0, 1, 17
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-backend/routes/admin/adminRoutes.js", "JavaScript", 0, 435, 4, 27, 466
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-backend/routes/api.js", "JavaScript", 0, 9, 2, 4, 15
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-backend/routes/applications/applicationsRoutes.js", "JavaScript", 0, 28, 0, 5, 33
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-backend/routes/auth/auth.js", "JavaScript", 0, 55, 6, 16, 77
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-backend/routes/user/userRoutes.js", "JavaScript", 0, 37, 0, 9, 46
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-backend/utils/db/db.js", "JavaScript", 0, 19, 1, 4, 24
"/home/manuareraa/Personal/github/personal/geia/apps/geoblocs-backend/utils/error-handling/customError.js", "JavaScript", 0, 8, 1, 2, 11
"Total", "-", 2372, 662, 16, 91, 3141
