Date : 2023-11-25 07:06:19
Directory : /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend
Total : 159 files,  31345 codes, 443 comments, 1403 blanks, all 33191 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |     19,776 |          0 |          3 |     19,779 |
| JavaScript |         62 |      9,896 |        401 |        757 |     11,054 |
| Markdown   |          1 |      1,088 |          0 |        536 |      1,624 |
| XML        |         86 |        422 |          0 |         79 |        501 |
| CSS        |          4 |        143 |         17 |         25 |        185 |
| HTML       |          2 |         20 |         25 |          3 |         48 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                   |        159 |     31,345 |        443 |      1,403 |     33,191 |
| . (Files)                                                                                                                                           |          5 |     20,817 |          2 |        540 |     21,359 |
| build                                                                                                                                               |         44 |        270 |          5 |         39 |        314 |
| build (Files)                                                                                                                                       |          2 |         60 |          0 |          0 |         60 |
| build/static                                                                                                                                        |         42 |        210 |          5 |         39 |        254 |
| build/static/css                                                                                                                                    |          1 |          3 |          3 |          0 |          6 |
| build/static/js                                                                                                                                     |          1 |          1 |          2 |          0 |          3 |
| build/static/media                                                                                                                                  |         40 |        206 |          0 |         39 |        245 |
| public                                                                                                                                              |          1 |         19 |         25 |          3 |         47 |
| src                                                                                                                                                 |        109 |     10,239 |        411 |        821 |     11,471 |
| src (Files)                                                                                                                                         |          7 |      2,154 |         59 |        144 |      2,357 |
| src/assets                                                                                                                                          |         46 |        216 |          0 |         40 |        256 |
| src/assets/svg                                                                                                                                      |         46 |        216 |          0 |         40 |        256 |
| src/components                                                                                                                                      |         34 |      3,906 |         61 |        346 |      4,313 |
| src/components (Files)                                                                                                                              |          8 |        612 |          4 |         58 |        674 |
| src/components/admin                                                                                                                                |         14 |      2,285 |         42 |        172 |      2,499 |
| src/components/admin (Files)                                                                                                                        |          3 |        316 |          9 |         21 |        346 |
| src/components/admin/project-view                                                                                                                   |         11 |      1,969 |         33 |        151 |      2,153 |
| src/components/platform                                                                                                                             |          9 |        599 |          2 |         67 |        668 |
| src/components/platform/projectView                                                                                                                 |          9 |        599 |          2 |         67 |        668 |
| src/components/platform/projectView (Files)                                                                                                         |          3 |        205 |          0 |         20 |        225 |
| src/components/platform/projectView/subWindows                                                                                                      |          6 |        394 |          2 |         47 |        443 |
| src/components/stakeholders                                                                                                                         |          3 |        410 |         13 |         49 |        472 |
| src/pages                                                                                                                                           |         20 |      3,944 |        288 |        289 |      4,521 |
| src/pages/admin-panel                                                                                                                               |          9 |      1,296 |         21 |         99 |      1,416 |
| src/pages/landing-site                                                                                                                              |          6 |        740 |        162 |         74 |        976 |
| src/pages/platform                                                                                                                                  |          5 |      1,908 |        105 |        116 |      2,129 |
| src/utils                                                                                                                                           |          2 |         19 |          3 |          2 |         24 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                            | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/README.md                                                                     | Markdown   |      1,088 |          0 |        536 |      1,624 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/asset-manifest.json                                                     | JSON       |         59 |          0 |          0 |         59 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/index.html                                                              | HTML       |          1 |          0 |          0 |          1 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/css/main.9bc500d4.css                                            | CSS        |          3 |          3 |          0 |          6 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/js/main.c8e91429.js                                              | JavaScript |          1 |          2 |          0 |          3 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/add.14dd812fbc777c481ebc568b677579c7.svg                   | XML        |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/admin-logo.a93f0147836c2119c5f78a5336bcf9b1.svg            | XML        |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/back-circle.e06053f97fb3252692cdca4c8e9bdb2b.svg           | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/baseline.c49360e21e561b69f4144a56fbd76d67.svg              | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/buyers.ec64d785505e90fc3ac475117fdb82a7.svg                | XML        |          7 |          0 |          1 |          8 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/community-centric.584e4ad576f5862ea4ad509efc121df6.svg     | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/decentralization.49a0877f1fbdfcb890c7927dbadcb4d0.svg      | XML        |          6 |          0 |          1 |          7 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/document.da582fed3c9e1794405d03a4f52914e4.svg              | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/edit.e4e2e7d4b3e1f5ae714e9d05fa1d7275.svg                  | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/efficiency-technology.fe6b961180bfa32852ff08554191e936.svg | XML        |          5 |          0 |          1 |          6 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/environment-icon.96f7f0d7c9753cedd58315e80a71df17.svg      | XML        |          9 |          0 |          1 |         10 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/fb.d7938a876f24c60b21c35bada1815226.svg                    | XML        |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/file-upload.9fd17df88c57b453c50595166a56a52b.svg           | XML        |          5 |          0 |          1 |          6 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/flow-dots.c896e8197fe0db6dd755608dc55d6ab0.svg             | XML        |         21 |          0 |          1 |         22 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/health.01d72741ad72e5c64da99d35b8a021f0.svg                | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/insta.e257866002e71fc3eddfbf91984d07e5.svg                 | XML        |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/linkedin.7f4e5b61f28fd4d2547bedc1c02a5e33.svg              | XML        |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/loading.2f83f3d5db26fb7eb4c3301f9103e89e.svg               | XML        |         10 |          0 |          0 |         10 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/location.b784ff1535eb09f14d18bc849caf7627.svg              | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/management.d4f2a12e5874c2572b345f79fc0f14e1.svg            | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/maximize.e1f910f25c767fb6895cc674eddc8860.svg              | XML        |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/monitor.a589d075b22521ff085b11b51bf548a9.svg               | XML        |          5 |          0 |          1 |          6 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/monitoring-icon.aa6d63ee6f18137e64e7bf5543622624.svg       | XML        |          9 |          0 |          1 |         10 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/paid-restore.8d981387ba21badaa22a1561658f6ee4.svg          | XML        |          6 |          0 |          1 |          7 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/purchase-geoblocs.885bf7df64a37165b90c792ad6b19570.svg     | XML        |          5 |          0 |          1 |          6 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/radical-transparency.48ccd8d225c44a43d53bbf127c59a5ce.svg  | XML        |          6 |          0 |          1 |          7 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/register-project.01c108d3902921e5196b555db4b76950.svg      | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/register.9b5b2ae60a1e4cf61aa9153c14dc20e9.svg              | XML        |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/right-arrow-b.c723cd355afb317d2fc59da9ef73db25.svg         | XML        |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/right-arrow-g.8a6cdc266f33de20e96b9c482cf96c72.svg         | XML        |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/right-arrow.8d0a7ff2c4919bbf553641fce79f0c4c.svg           | XML        |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/scientists.a373b1137c3c06d4e480f1dcbb1c8528.svg            | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/season-icon.56d14e9ef7ff3d0af963d9c92bd77693.svg           | XML        |          9 |          0 |          1 |         10 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/sell.aa186e9b3bf3d5daaa179564e9b8bc60.svg                  | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/share.5cea1f73163f915a83a241902aa0c183.svg                 | XML        |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/shield.0743679e9c7bbc61bcc3836fa859cc11.svg                | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/sponsors-icon.2c28978c3836a1b60c24525cb670fa05.svg         | XML        |          9 |          0 |          1 |         10 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/stewards.5d281936396482d3c9d283ff9e0d727a.svg              | XML        |          5 |          0 |          1 |          6 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/streamlined-process.0bc824c4ada22f4341a210e341816e6a.svg   | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/build/static/media/wallet.ca35030a58d9b2ca6e7b09f7848880e8.svg                | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/package-lock.json                                                             | JSON       |     19,646 |          0 |          1 |     19,647 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/package.json                                                                  | JSON       |         54 |          0 |          1 |         55 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/prettier.config.js                                                            | JavaScript |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/public/index.html                                                             | HTML       |         19 |         25 |          3 |         47 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/App.css                                                                   | CSS        |        103 |          8 |         17 |        128 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/App.js                                                                    | JavaScript |        250 |          1 |          7 |        258 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/AppContext.js                                                             | JavaScript |      1,741 |         44 |        105 |      1,890 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/Geoblocs.js                                                               | JavaScript |          5 |          0 |          3 |          8 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/accountDets.json                                                          | JSON       |         17 |          0 |          1 |         18 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/add.svg                                                        | XML        |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/admin-logo.svg                                                 | XML        |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/back-circle.svg                                                | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/baseline.svg                                                   | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/buyers.svg                                                     | XML        |          7 |          0 |          1 |          8 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/community-centric-v2.svg                                       | XML        |          1 |          0 |          0 |          1 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/community-centric.svg                                          | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/decentralization-v2.svg                                        | XML        |          1 |          0 |          0 |          1 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/decentralization.svg                                           | XML        |          6 |          0 |          1 |          7 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/document.svg                                                   | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/edit.svg                                                       | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/efficiency-technology.svg                                      | XML        |          5 |          0 |          1 |          6 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/environment-icon.svg                                           | XML        |          9 |          0 |          1 |         10 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/fb.svg                                                         | XML        |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/file-upload.svg                                                | XML        |          5 |          0 |          1 |          6 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/flow-dots.svg                                                  | XML        |         21 |          0 |          1 |         22 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/health.svg                                                     | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/insta.svg                                                      | XML        |          3 |          0 |          1 |          4 |
